bn,rm
ভাই ভয়েস টু টেক্সট করবো কিভাবে?,Vai Voice To Text Korbo Kivabe?
ভাই ভার্সন কম না এন্ড্রোইড ১২ আমার ফোন.. ওয়ানপ্লাস ৯আর,Vai version kom na android 12 amar phon.. OnePlus 9R
ভাই টার্বো ভিপিএন কি এখন ও চলে?,Vai turbo VPN ki ekhon oo chole?
ভাই ট্রিকবিডি তো লোগো আপডেট হয়েছে আরো নতুন ফীচার অ্যাড করলে ভালো হতো,Vai trickbd tho logo update hoyece aro notun feature add korle valo hoto
"ভাই ট্রিকবিডি তে তো যেকোনো ট্রিক শেয়ার করা যাবে,","Vai trickbd te to jkono trick share kora jabe,"
ভাই থ্যাংকস,Vai thanks 
ভাই টেলিগ্রাম গ্রুপ ম্যানেজ করার জন্য একটা বট সাজেস্ট করেন,Vai telegram group manage korar janno akta boat suggest koren
ভাই সাইনআপ করতে,Vai signup Korte
ভাই সার্ভার ফুল দেখায়। এনি আদার সল্যুশন??,Vai server full dekhay. Any other solution??
ভাই রে আপনার কথার কোন আগা মাথা পাইনা। যেকোনো কথা মনে হয় আপনার অর্ধেক বলার অভ্যাস।,vai re apnar kothar kono aga matha paina. jekono kotha mone hoy apnar ordek bolar obbas.
ভাই রেবটেল এ তো $ টপআপ চায় ফ্রি কিভাবে করলেন মেথড টা শেয়ার করবেন প্লিজ,vai rabtel e to $ topup cay free kivabe korlen methot ta share korben plz
ভাই প্রমোকোডে টার মেয়াদ কত দিন ,vai promocode tar meyad koto din
ভাই প্রোফাইল পিক পাল্টাবো কিভাবে ,Vai profile pic paltabo kivabe
ভাই প্লে স্টোর এ এর রিভিউ খুব বাজে দেখলাম.. ,Vai play store a ar review khob baje deklam..
ভাই পিসি তে কিভাবে ইউজ করবো?,vai pc te kivabe use korbo?
ভাই অনেক সুন্দর ১ টা পোস্ট …,vai onek sundor 1 ta post …
ভাই মোবাইল দিয়ে সোশ্যাল মিডিয়া অ্যাপ বানানোর পোস্ট করেন,Vai mobile diye social media app bananor post karen
ভাই মেথড টা বলেন প্লিজ,Vai method ta bolen please
ভাই লিংক আপডেট করা হইছে?,Vai link update kora hoise?
ভাই লিংক ঠিক করেন…লিংক থেকে তো ডাউনলোড ই করা যায়না,vai link tik koren..link teke to download ee kora jayna
ভাই লিংক প্রব্লেম টা ফিক্সড করেন…..একটা লিংক ও কাজ করেনা,vai link problem ta fixed koren…..akta link o kaj korena
ভাই লিংক কাজ করে না,vai link kaj kore na
ভাই কোন থেকে ইউজ করেন আপনি?,Vai kon theke use koren apni?
ভাই কাজ হয় না কোনোটাই??? ফোন অপ্পো এ৯৪,Vai kaj hoi na konotai??? Phone oppo A94
ভাই যার তো ইনিস্টল হয় না কি ভাবে করব একটু বলেন।,Vai jar to inistall hoye na ki vabe korbo ekto bolen.
ভাই ইমো প্যাক এর লিংক কি দিতে হবে প্লিজ জানান কেউ ,vai imo pack er link ki dite hobe plz janan kew
ভাই আইডি ব্যান হবে?,Vai Id Ban Hobe?
ভাই হচ্ছেনা,Vai hoccena 
ভাই এইটার ক্র্যাক ভার্সন হবে?,Vai eitar crack version hobe?
ভাই এইটা কি টেলিগ্রাম অ্যাপ এ কাজ করবে?,Vai eita ki telegram app e kaj korbe?
ভাই এসব কি পোস্ট…এইগুলা বাচ্চা পোলাপান ও জানে..,vai eisob ki post…eigula baccha polapan o jane..
ভাই এই নিয়ে অলরেডি পোস্ট আছে,Vai Ei niye already post ase
ভাই দয়া করে আপডেট ভার্সন এর ক্র্যাক দেন প্লিজ,Vai doya kore update virsion er crack den plz
ভাই অ্যাপস গুলো ডাউনলোড করতে পারছি না,Vai apps gulo download Korte parsi na
ভাই অ্যাপ বানাবো কীভাবে সেটা তো বললেন না?,vai app banabo kivabe seta to bollen na?
ভাই আপনার নাম্বার টা দেন আপনার সাথে কিছু বিষয় নিয়ে কথা বলতে চাই.. বেশি ইম্পরট্যান্ট...,Vai apnr numbr ta den apnr shate kico bishoy niea Kotha bolte chai.. vesi important…
ভাই আপনার টেলিগ্রাম ইউজার নেম টা দেন,Vai apnar telegram user name ta den
ভাই আপনার সাথে ইম্পরট্যান্ট কথা আছে। আপনার এফবি আইডি লিংকটা দিবেন।,Vai apnar sate importane kota ache. Apnar fb id linkta diben.
ভাই আমার এসপিসি তে প্রায় ৭ হাজার টাকার মতো আটকাই রইছে উইথড্র করতে পারছি না ক্যান ইউ হেল্প মে ?,Vai amr SPC te pry 7 hajar taka ar moto atkai roice withdraw korte parci na can you help me ?
ভাই আমি ইউজ করে দেখেছি অনেক অ্যাপ,Vai ami use kore dekhechi onek app
ভাই আমার ফোন এ তো ইন্সটল হচ্ছে না ফন্ট  টা,Vai amar phn a to install hocche na font ta
ভাই আমার মোবাইল টা কি তাহলে সেকেন্ড হ্যান্ড ছিল! অনেক গুলা টাকা দিয়ে মোবাইল টা কিনছিলাম।,Vai amar mobile ta ki tahola 2nd hand silo!  onak gola taka diya mobile ta kincilam.
ভাই আমার আগের টাই ভালো ছিলো………এটা ডিলিট করবো কিভাবে ,Vai amar ager tai valo chilo………ata delete korbo kivabe
ভাই একটু বেশি চাপা মারে,vai aktu besi chapa mare
ভাই এড্স রিমুভ এন্ড অন্য এডিস বসাবো কিভাবে প্লিজ বলবেন,Vai ads remove and onno ads bosabo kivabe plz bolben
ভাই ৭ দিন পরে আবার কিভাবে ইউজ করবো??,Vai 7 din pore abar kivabe use korbo??
"ইউজ প্রক্সিবিডি, পোস্ট ভালো করে পড়ুন","use proxybd, post valo kore porun"
"আপডেট এ সব ঠিক হয়ে গেছে,এখন প্রব্লেম নেই","Update e sob thik hoye geche,ekhon problem nei"
টিভি এর জন্য বেস্ট এনিমি অ্যাপ সাজেস্ট করেন..,Tv er jnno best anime app suggest koren..
টার্বো তে যা ডিসকানেক্ট প্রব্লেম প্রিমিয়াম এ কি ডিসকানেক্ট হয়না নাকি ।,turbo te ja disconnect problem premium e ki disconnect hoyna naki
ট্রাই করছি অনেক আগেই কোনো পারফরমেন্স বুস্ট হয় নাই শুধু স্টোরেজ নষ্ট! ফালতু অ্যাপ,Try korsi onek agey kono performance Boost hoy nai shudhu storage nosto! Faltu App
ট্রাই করেন ভাই দোয়া করি….টাকার অভাবে সফটওয়্যার টা কিনতে পারি না স্বপ্ন টাও পূরণ করতে পারি না,Try koren vai doya kori….takar ovabe software ta kinte pari na sopno tao puron korte pari na
ট্রাই করছি,Try korci
ট্রাই করবো,Try korbo
ট্রাই ঢাকা সার্ভার। আর সার্ভার কাজ না করলে এইটা অ্যাপ এর প্রব্লেম না। প্রবলেম হলো টার্বো ভিপিএন এর মেইন সার্ভার এর,try dhaka server. r server kaj na korle aita app er problem na. problem holo turbo vpn er main server er
ট্রাস্টেড মানুষকে একসেপ্ট করবেন...,Trusted manushke accept korben…
ট্রুকলার বট কাজ করে না....,TrueCaller bot kaj kore na….
ট্রু কলার দিতে পারবেন যেটাতে রেকর্ড হয়,True caller dite parben jetate record hoi
ট্রিকবিডি তে এইটা নিয়ে আরও পোস্ট আছে ভাই। ওদের তো কিছু বললেন না।,trickbd te ata niye aro post ache vai. oder to kichu bollen na. 
ট্রিকবিডি এর কমিউনিটি গাইডলাইনস পরে তারপর পোস্ট করবেন,Trickbd er community guidelines pore tarpor post korben
ট্রায়াল অফ করে দিছে.. ,Trial off kre dise..
ট্রান্সলেটর কি অফলাইন কাজ করে?,Translator ki offline kaj kore?
টপ ৩ টা ব্রাউসার এর লিস্ট আমার ও সেইম।,Top 3 ta browser er list Amar o same.
টিকভিপিএন এর লিংক টা দিলে ভালো হতো,Tikvpn er link ta dile valo hoto
টাইগার প্রসেসর কি?,Tiger processor ki?
থ্যাংকস ভাই,thx vai
ঠিক ই তো আছে,thik e to ache
ঠিক বলছেন,Thik bolsen
ঠিক আছে ট্রাই করে দেখি..,Thik ase try kore dekhi..
ঠিক আছে ভাই....,Thik ache vai….
থ্যাংকস। খুবই কাজের অ্যাপ।,Thanks. Khub e kajer app.
থ্যাংকস ভাইয়া অনেক উপকারী একটা পোস্ট।,Thanks vaiya onak upokari akta post.
থ্যাংকস ফর দিস পোস্ট ভালোই হইছে,Thanks For this post Valoi Hoise
থ্যাংকস দোস্ত,Thanks dost 
থ্যাংকস ব্রো। প্লিজ স্যামসাঙ গ্যালাক্সি এস৭ এজ এর রিভিউ করুন।,Thanks Bro. Plz Samsung Galaxy S7 Edge Er Review Korun.
থ্যাংক ইউ ভাই। নেক্সট পোস্ট গুলো সম্পর্কে শিউর হয়ে তারপর পোস্ট করব।,Thank you vai. next post gulo somporke sure hote tarpor post korbo.
"থ্যাংক ইউ ভাই, এভাবেই সাপোর্ট করুন","Thank you vai, avabei support korun"
থ্যাংক ইউ ভাই,Thank you vai
থ্যাংক ইউ ভাই একটু দ্রুত জানাবেন…ইমারজেঞ্চি,Thank you bhai ektu druto janaben…emergency 
টেক্সএরিয়া এর মধ্যে দেন কোড,TEXTAREA er moddhe dan code
টেক্সট থার্ড পার্টি এর কাছে থাকে নাকি? আই মিন কোনো রিস্ক আছে কিনা?,Text 3rd party er kace thake naki? I mean kuno risk ace kina?
টেলিগ্রাম টেলিগ্রাফ কথা বলা যায়?,telegram telegraph kotha bola jay?
টেলিগ্রাম মুভি চ্যানেল নিয়ে অলরেডি পোস্ট করা আছে আমার প্রোফাইল এ গিয়ে দেখে নিন,Telegram movie channel niye already post kora ache amr profile e giye dekhe nin
টেলিগ্রাম গ্রুপ এ জয়েন করেন ..পাবেন ঐখানে আমাকে..,telegram group e join koren ..paben oikhane amake..
টেলিগ্রাম অ্যাপ এ অটো জয়েন করে এটা অফ করবো কেমনে ,Telegram Appa a auto Join korei ata off korbo kmne
টেলিগ্রাম এ অ্যাড হলে সবআপডেট পাবেন,telegram a add hole sobupdate paben
তাহলে?,Tahole?
তাহলে হয়ত হবে না,Tahole hoyto hobe na 
তাহলে হবে না,tahole hobe na
সিস্টেম আপডেট করে ডেভেলপার অপশনস এ গিয়ে দেখেন। আমার এন্ড্রোইড ৮.১.০ গো এডিশন।,System Update kore developer options a giye dekhen. Amar android 8.1.0 go edition.
সিম্ফনি জি৪৫ ফোন টা সেটিং রিভিউ দাও,symphony z45 phn ta setting review dao
সাসপেন্ডেড একাউন্ট ব্যাক করা যাবে কি ফ্রি ফায়ার ,Suspended account back Kora jabe ki free fire
সুপার বাট করার সময় নাই,Super but korar somoy nei
সুন্দর পোস্ট,Sundor Post
সুন্দর,Sundor
সাবস্ক্রাইব করা লাগবে না সাবস্ক্রাইব ক্লিক করে পপ আপ উইন্ডো কেটে দিবেন,Subscribe kore lagbe nah subscribe click kore pop up window kete diben
স্টার্ট.আইও তে এখন এসিপিএম এর যেভাবে ডলার ডিডাকশন হচ্ছে মনে হয় না কেউ ভালো ফল পাবে....,Start.io te ekhon ecpm r jevabe dollar deduction hocche mone hoy na keo valo fol pabe….
সরি দেয়া আছে,Sry deya ace
স্পিড পায় না।১০০-২০০ কেবি।,Speed pay na.100-200 kb.
স্পিড পাই না ভাই.. নরমাল জিডি এর ফাইল এ ৬০০-৭০০কেবি/সে পাই বাট এমনে ডাউনলোড দিলে ১০০ কেবি/সে উঠতেই খবর হইয়া যায়..,Speed pai nah vai.. Normal gd er file e 600-700kb/s pai bt emne download dile 100 kb/s uthtei khobor hoiya jay..
স্পিড কেমন ,Speed kmn
স্পিড কেমন? ভিডমেট এ তো ৫এমবিপিএস ডাউনলোড হয়। ওয়াইফাই ২০০ কেবিপিএস থাকলেও?,Speed kemon? Vidmate e to 5mbps download hoy. Wifi 200kbps thakleo?
স্পিড কেমন ,Speed kemon
স্পিড দেখে আমি শিহরিত সর্বোচ্চ ৫৫৭ কেবিপিএস,Speed Dekhe Ami Sihorito Sorboccho 557 kbps
"সরি তাহলে হয়তো হবে না, আমি পোস্ট এ বলেছি অন্য নিউ ভার্সন এ নাও হতে পারে।","Sorry  tahole hoyto hobe na, ami post bolechi onno new version a nao hote pare."
সরি নতুন কোন উপায় পেলে জানাবো,Sorry notun kono upay pele janabo
সরি ভাই দিতে ভুলে গেছি,Sorry vai dite vule gesi
সরি ইনস্টল ই হয়না,Sorry install e hoyna
সহ মত,Soho mot
সব ফোনে এইটা কাজ করে না ভাই,Sob phone eita kaj kore na vai
এসএমএস টাইপ করা দেখা যাবে ? আই মিন আলফাবেটস টাইপ করলে ?,Sms type kora dakha jabd ? I mean alphabets type korle ?
স্কিটো দিয়া ইনশাল্লাহ ভালো ই চলছে আমি ইউজ করতেছি,Skitto dea inshallah valo ee colca ami use kortaci
সবে করছি ফোন অফ/অন ও বাট চেঞ্জ অপসন আসেনা,Shobe korchi phn off/on o bt change option asena
সব ইনফিনিক্স ফোন গুলো তেই ফিচারস গুলো পাবেন,Shob infinix phone gulo tei features gulo paben
সব দিক থেকে ঠিক আছে।,Shb dik theke thik ase.
শেয়ার করেন প্লিজ।,Share koren please.
শেয়ার করার জন্য থ্যাংকস,Share korar jonna thanks
সার্ভার চেঞ্জ করে ট্রাই করুন,Server change kore try korun
সেক বুস্টার শুধু ফ্রীফায়ার চলে.. ম্যাক্স / অ্যাডভান্স চলে না,Sec Booster sudhu freefire cole.. max / advance cole na
"সার্চ দিয়ে দেখছিলাম, বাট পাইনাই। লিংক দিয়েন। দেখবো নে","search diye deksilam, but painai. link diyen. dekhbo ne"
সার্চ দিয়ে দেখেন,search diye dekhen
সেভ করলে ভিডিও আছে না । অডিও আসে দেন প্লে হয়না,save koirle video ashe na . audio ashe then play hoyna
স্যামসাং টা ভালো লাগলো….. ,samsung ta valo laglo…..
স্যামসাং নোট ১০+ কাজ করে না,Samsung Note 10+ kaj kore na
সেইম ভাবে ব্যাংক আইশা এর অ্যাপ এও নাম দেখা যায়...,same vabe bank aisa er app ew nam dekha jay…
সেইম অবস্থা,Same obostha 
সেইম জিমেইল একাউন্ট থেকে যদি এক্সেস করেন তাহলে ক্লোন করা সব টুলস ই থাকবে!,Same gmail account theke jodi access koren tahole clone kora shobb tools e thaakbe!
রাউটার এ কনফিগারেশন করার কোনো উপায় নাই? ডিএনএস টা কি ফাস্ট নাকি স্লো?,Router e Configuration korar kono way nai? DNS ta ki fast naki slow?
রেফার করলে কত টাকা দেয়?,Reffer korle koto taka day?
রেফের এ টাকা না ১০ পয়েন্ট করে দেয়। এই পয়েন্ট গুলা টাকায় কনভার্ট করতে হবে। আর এগুলা উইথড্র করতে পারবেন না। এই পয়েন্ট দিয়ে গেম খেলতে পারবেন অ্যাপস এর ভিতর,refer e taka na 10 point kore day. ei point gula takay convert korte hbe. r egula withdraw korte parben na. ei point diye game khelte parben apps er vitor
রেডমি নোট ৭ কি ৬৪ বিট না? তাহলে কি এটা চলবে? এটা তো ৩২ বিট।,Redmi note 7 ki 64 bit na? Tahole ki ata cholbe? Ata to 32 bit.
রেডমি নোট ৭ এর জন্য আমার একটা সেফ ইমো প্রিমিয়াম অ্যাপ লাগবে।,Redmi note 7 ar jonno amar akta safe imo premium app lagbe.
রেকর্ড ফাইল খুঁজে পাচ্ছি না…..,Record file khuje pasci na…..
রিয়েলমি'র অফিসিয়াল সাইট থেকে ও চেক করতে পারবেন..,Realme’r official site theke o check korte parben..
রিয়েলমি বাংলাদেশ এর নম্বর ১ ব্র্যান্ড হলো কবে থেকে ভাই?,Realme Bangladesh er number 1 brand holo kobe theke vai?
আর এ ভাই এপিকে মোড করে আবার পাসওয়ার্ড লাগিয়ে দিছেন???,R a vai apk mod kore abar password lagiye dicen???
পাইথন এর জন্যে কোনটা বেটার হবে?,Python er jonne konta better hobe?
পারচেজ বলতে কিনার সময়-কাল বুজানো হয়… আপনার ফোন টা হয়তো কিনার আগেই ইউজ হয়েছিল..,Purchase bolte kinar somoy-kaal bujanu hoi… Apnar phone ta hoitoo kinar agei use hoye chilo..
পুরাই ফাউল….,Purai faul….
পাব্জি তো চলে না,Pubg tw chole na 
প্রক্সিবিডি আর কাজ করে না। ভিডিও মেক করে ইউটিউব এ দেন পিসি মেথড।,Proxydb ar kaj kore na. Video make kore youtube a dan pc method.
প্রক্সি ফর বিডিআইএক্স এটা কি ওয়ার্কিং?,Proxy for BDIX eta ki working?
"প্রমো কোড কাজ করেনা এক্সপায়ারড মেবি, কেউ একাধিক একাউন্ট নিয়ে থাকলে আমাকে একটি একাউন্ট দেন।","promo code kaj korena expired maybe, kew ekadik account niye thakle amake ekti account den."
প্রাইস কত??,Price koto??
প্রিসেট কিভাবে ইউজ করে এইটা না দিয়া ,Preset Kivabe use kore aita na dia
প্রিমিয়াম আনলকড নাই কেন ভাই!!!,Premium unlocked nai kn bhai!!!
প্রিমিয়াম থাকলে দিন প্লিজ...,Premium thakle din plz…
প্রিমিয়াম কোনো সার্ভার এ কাজ করে না।আমি নিজে ভালো ভাবেই ট্রাই করে দেখেছি। ,premium kono server e kaj kore na.ami nije valo vabei try kore dekhechi.
প্রিমিয়াম ই আনলক না তাহলে এইরকম মোড অ্যাপ দেয়ার মানে কি ভাই,Premium e unlock na tahole eirokom mod app dewar mane ki bhai
প্রায় ২ মাস হয় কিনেছি ১৩৯৯৯ খুব ভালই চলে বাট ব্যাটারি টা ৬০০০ হলে ভালো হতো,Pray 2 mas hoy kineci 13999 kub baloi coler but bettery ta 6000 hole balo hot
পাওয়ারএম্প ক্র্যাক ভার্সন টা দিন,poweramp crack version ta din
পোস্ট টা আমিও করেছিলাম ,Post ta amio korechilam 
পোস্ট টা আমার ই,Post ta Amar e
"পোস্ট করার আগে সার্চ করার অভ্যাস করুন – সার্চ করতে না পারলে, লিংক এ ঢুকে দেখেন ২ইয়ার আগেই রিভিউ হইছে","post korar age search korar ovvas korun – search korte na parle, link a dhuke dekhen 2yr agei review hoiche"
পোস্ট এ তো বলেই দিছি অ্যাপ এ টাকা না ঢুকাতে.. আপনি টাকা ঢুকায় গেম খেলসেন নাকি?,post e to bolei disi app e taka na dukate.. apni taka dukay game khelsen naki?
পোস্ট ডিলিট করবো?? ,post delete korbo??
"পোস্ট আগেই বলেছি এন্ড্রোইড ৯, ১০, ১১ এ কাজ নাও হতে পারে","Post agai bolechi android 9, 10, 11 a kaj nao hote pare"
পোস্ট এ বলা আছে এসব ভার্সন এ নাও হতে পারে,post a bola ache asob version e nao hote pare
"প্লিজ ব্রো স্যামসাং গ্যালাক্সি এস৭ এজ ফোন নিয়ে রিভিউ করুন এন্ড এটির বিডিটি কত,","Plz Bro Samsung Galaxy S7 Edge Phone Niye Review Korun And Etir BDT Koto,"
প্লেস্টোর এর টা আর এইটা..২টা তো আলাদা,Playstore er ta r eita..2ta to alada
প্লেস্টোর এর ১০০% সব অ্যাপস সেফ না,Playstore er 100% shob apps safe na
প্লেস্টোর এ দেখেন,Playstore e dekhen
প্লেস্টোর এর সব অ্যাপ রিভিউ করবেন নাকি,playstore ar sob app review korben naki
পিঙ্কি ভিপিএন নিয়ে কিছু লিখেন ব্রো,Pinki vpn niye kisu likhen bro
পিঙ্কি ভিপিএন এর ইউজার আইডি হ্যাকিং নিয়ে পোস্ট চাই ,Pinki vpn er user id hacking niye post cai
ফোন এ ডিএনএস মোড নাই.. তারা কি করবো?,phone e dns mode nai.. tara ki korbo?
ফোন অ্যাপ এ দেখেন মাইক আইকন শো করে.. ওইটা ই রেকর্ড প্লে হয়,Phone app a Dakn Mic Icon Show Kore.. Otai e record play Hoy
পার্সোনাল কয়েকটা জিমেইল একাউন্ট করে রাখলে পরে কি ইউজ করা যাবে….?,Personal koyekta gamil account kore rakle pore ki use kora jabe….?
পিসি তে ডাউনলোড দিলাম । বাংলাদেশ শো করে না ,PC te download dilam . Bangladesh show kore na
পিসি এর জন্য অ্যাপ মোড করে দেন,pc er jonno app mod kore den
পিসি দিয়ে কিভাবে করবো??? ,pc dia kivabe korbo???
পাসওয়ার্ড টা দেন ভাই,Password ta den vai
পাসওয়ার্ড কিভাবে বের করবো?,Password kivabe ber korbo?
পাইছি,Paisi
অস্থির পোস্ট,osthir post
অস্থির ছিল,osthir chilo 
"ওসিনট্গ্রাম/ওসিনট টুলস গুলো দিয়ে শুধু ভিক্টিম এর ইনফরমেশন গেদার করতে পারবেন, পাসওয়ার্ড পেতে হলে ফিশিং করতে হবে!","Osintgram/OSINT tools gulaa diye shudhu victim er information gather korte paarben, password pete hole phishing korte hobe!"
অসাধারণ ,Osadharon
"উপস, সামথিং ওয়েন্ট রং! প্লিজ ট্রাই এগেইন এটা লিখা আসে কেন??","Oops, something went wrong! Please try again atta likha ashe kno??"
অন্য ওয়েবসাইট এ সার্চ করে দেখতে হবে।,Onno website a search kore dekhte hobe.
অন্য সাইট এ ফাইল আপলোড করুন আর না হয় ড্রাইভ লিংক দেন,Onno site a file upload korun r na hoy drive link den
অনেক আগে থেকেই জানতাম,Onk age thekei jantam
অনেক দিন পর ট্রিকবিডি তে একটা কাজের পোস্ট পাইলাম,Onekdin por trickbd te akta kajer post pailam
অনেক ভালো পোস্ট,onek Valo Post
অনেক ইউজফুল পোস্ট করছেন আপনি। কেরি অন,Onek useful post korechen apni. Carry on 
অনেক সুন্দর পোস্ট। কোয়ালিফাইড পোস্ট।,onek sundor post. qualified post. 
অনেক অনেক দিন পর ভালো একটা পোস্ট পেলাম।তবে ডাইরেক্ট লিংক দিলে আরো ভালো হত,onek onek din por valo ekta post pelam.tobe direct link dile aro valo hoto
অনেক এ জানে না ..তাই পোস্ট করলাম..আপনি আগে থেকেই ইউজ করেন এর জন্য কংগ্রাচুলেশন্স,onek e jane na ..tai post korlam..apni age thekei use koren er jonno congratulations 
অনেক ধন্যবাদ আপনাকে,Onek dhonnobad apnake
ওকে ভাই,Ok vai
ওকে ধন্যবাদ ,Ok dhonnobad 
ঐটা অ্যাডমিন দের বলতে হবে….,oita admin der bolte hbe….
ওই খানে যে ফ্রি ডিএনএস আছে ঐটা ইউজ করলে চলবে না?,oi khane je free dns ache oita use korle colbe na?
"ওহ, নতুন কোনো উপায় পেলে জানাবো","Oh, notun kono upay pele janabo"
"ওহ মাই গড, আপনি না শিখাইলে তো আমরা তো এইটা না শিখেই মরে জেতাম।","Oh my god, apni na sikhaile to amra to eita na sikhei more jetam."
ও আচ্ছা,Oh assa 
অফলাইনে এ পড়তে পারবো শুনতে পারবো তাফসীর থাকবে বিস্তারিত ভাবে এমন কোনো অ্যাপ এর কথা জানেন নাকি ভাই ,Offline a porte parbo sunte parbo tafsir thakbe bistarito vabe Amon kono app a kotha Jane nki vi
ওসেনোএফএপিকে ওয়েবসাইট থেকে ডাউনলোড করে নিন ,Oceanofapk website theke download kore nin
নতুন কোনো উপায় পেলে জানাবো,Notun kono upay pele janabo
নিজ থেকে ওয়ালপেপার সেট করতে পারবোনা??,Nij theke wallpaper set korte parbona??
নাইস পোস্ট…. আমার কাছে এই ভিপিন ইউজ এ স্পিড বেশি পেলাম মনে হয়...,Nice post…. Amar kache ai vpn use e speed beshi pelam mone hoy…
নাইস পোস্ট। বাট কাস্টম কোডেক কি জন্য? কাস্টম কোডেক যদি না দেই তাহলে কি ভিডিও প্লে করতে কোনো সমস্যা হবে?,Nice Post. But Custom Codec ki jonno? Custom Codec jodi na dei tahole ki video play korte kono shomossa hobe?
নেক্সট ডিএনএস ভিপিন ইউজ করেন….,Next Dns Vpn use koren….
নেক্সট এ পোস্ট দিবো,Next a post dibo
নিউ পোস্ট অপসন এ ঢুকে অ্যাড স্ক্রিনশটস এ পিক আপলোড করেন… পিক আর একটা আইডি পাবেন ঐটা পোস্ট এর মাঝে দিয়ে দিবেন পিক শো করবে ..,New post Option a Duke Add Screenshots a pic upload koren… Pic ar akta id Paben oita post ar maje dia diben pic show korbe ..
নিউ কারেক্ট এপিকে ইন্সটল হয় বাট ফন্ট চেঞ্জার হয় না,New Correct Apk Install Hoi But Font Changer Hoi na 
নেট কানেকশন যখন লাগবে তাইলে আর এই অ্যাপস এর দরকার কি?? এফবি/ হোয়াটস্যাপ তো আছেই?,net connection jokhon lagbe taile ar ai apps ar dorkar ki?? FB/ whatsapp to asei?
নাম কি? অথবা লিংক টা দেন।,Name ki? Othoba link ta den.
নাম কি এটার?,Name ki atar?
নাই…,Nai…
"না ভাই, খালি লিনাক্স লাগে!","Nahh bhai, kali linux laage!"
না….,Nah….
না ভাই এটা আমিও পারবো আপনি এমজিনংওয়াপ.কম এর মতো পারবেন,Na vai eta amio parbo apni amazingwap.com er motho parben
না ভাই এখনো হিটিং ইস্যু আছে। ৫ মার্চ এ কিনার পর আর কোনো আপডেট আসে নাই। আমি এটা ইউজ করি। অনেক হিট হয়। ,Na vai akhono heating issue ase. 5 march e keenar por ar kono update ase ni. Ami eta use kori. Onek heat hoy.
মিউজিকলেট ছাড়া বাকি গুলা কাজের না,Musicolet chara baki gula kajer na
মিউজিকলেট ছাড়া বাকি গুলা ফালতু,Musicolet chara baki gula faltu
মোড এপিকে তে বার বার ভিপিন ডিসকোর্ড হয় আবার অটো কারেক্ট হয় ১ সেকেন্ড পর পর ই …এই জন্য গুগল ড্রাইভ থেকে ডাউনলোড ই দেয়া যাচ্ছে না ….অন্য কোনো ওয়ে আছে??,Mod apk te bar bar vpn discord hoi abar auto correct hoi 1 second por por e …ai jonno google drive theke download e dea jasse na ….onno kono way ase??
মোবাইল এর রিভিউ দিলেন অথচ কোনো ডিটেলস ই লিখলেন না ডিভাইস এর!,Mobile er review dilen othocho kono details e likhlen naa device er!
মোবাইল দোকান .কম এর রিভিউ টা নিজের মতো লিখা এমন লাগছে,Mobile dokan .com er review ta k nijr moto likha amn lagce
মিরর ড্রাইভ কিভাবে ক্রিয়েট করে বিস্তারিত পোস্ট দিয়েন,Mirror drive kibhabe creat kore bistarito post diyen
মাইক্রোজি ইনস্টল করলেই জিমেইল লগইন করা যাবে,microG install korlei Gmail login kora jabe
মেয়াদ কয় দিন?,meyad koi din?
মেথড টা কি বলা যাবে?? ব্রো,Method ta ki bola jabee?? Broo
মেসেঞ্জার এ স্কিপ নেটিভ লাইব্রেরীস অপসন ওন/অফ করা যাচ্ছে না,Messenger a skip native libraries option on/off kora jacche na
মাশা-আল্লাহ,Masha-Allah
মেনি মেনি থ্যাংকস অনেক দিন ধরে খুজতে ছিলাম এটা,many many thanks onk din dore kojde selm ata
মেনি মেনি থ্যাংকস ব্রো।,Many many thanks bro.
লোল…যে কোনো ভিপিন কানেক্ট করলে স্পিড বেশি দেখায়…কাজের কাজ হয় না,lol…j kono vpn connect korle speed beshi dekhai…kajer kaj hoyna
লোল। ট্রু কলার বট ডিসেবল হয়ে গেছে।,Lol. Truecaller Bot Disable hoye geche.
লোল কাইনমাস্টার ৯ নাম্বার এ,lol Kinemaster 9 number a 
লিংক ওয়ার্ক হচ্ছেনা,link work hccena
লিংক আপডেট করা হইছে…চেক করেন,Link update kora hoisee…chck koren
লিংক তো ভাই ঠিক আছে.. তবে মাঝে হয়তো ওদের সার্ভার সমস্যা হয়!! ,link to vai tik ase.. tbe maje hoyto oder server somossa hoy!!
লিংক তো ঠিক আছে ভাই!!,link to tik ase vai!!
লিংক ঠিক আছে ভাই তবে মাঝে মাঝে ওদের সার্ভার ডাউন হয়ে যায়,link tik ase vai tobe maje maje oder server down hoye jay
লিংক ঠিক করেন ভাই,link thik koren vai
লিংক ঠিক করেন,Link thik koren
লিংক টা দিবেন ভাইয়া একটু কষ্ট করে???,link ta diben vaiya akto kosto kore???
লিংক কাজ করে না,Link kaj kore na
লিংক ই কাজ করে না,link e kaj kore na
লিংক দিয়ে দিছি,Link diye disi
লিংক ডাইরেক্ট দেয়ার ট্রাই করুন….,link direct dewar try korun….
লিংক দিছে…. ডাউনলোড দিলাম দেখাচ্ছে অন্য অ্যাপ ,Link dice…. download dilam dekhacce onno app
